verbe	v_dico	v_corpus	v_trans	v_tel	v_asp	v_rol_suj	v_rol_obj	v_rol_obq	v_nb_arg	act_res
transbahuter	oui	oui	trans	n_tel	act	ag	th	na	2	non
saoûler	oui	oui	trans	n_tel	act	ag	pa	na	2	non
se saoûler	oui	oui	intrans	n_tel	act	ag	na	na	1	non
enfourcher	oui	oui	trans	tel	ach	ag	loc	na	2	non
déshériter	oui	oui	trans	tel	ach	ag	pa	na	2	non
solder	oui	oui	trans	tel	ach	ag	pa	na	2	non
entremêler	oui	oui	trans	tel	ach	ag	pa	pa	3	non
s'entremêler1	oui	oui	intrans	tel	ach	pa	na	pa	2	oui
fusionner1	oui	oui	trans	tel	acc	ag	pa	pa	3	oui
dupliquer1	oui	oui	trans	tel	acc	ag	pa	na	2	oui
diplômer1	oui	oui	trans	tel	acc	ag	pa	na	2	oui
tag(g)uer1	oui	oui	trans	tel	ach	ag	pa	loc	3	oui
réessayer	oui	oui	trans	n_tel	act	ag	th	na	2	non
arranger	oui	oui	trans	tel	acc	ag	pa	na	2	non
enjamber	oui	oui	trans	tel	acc	ag	loc	na	2	non
bullshiter1	non	oui	trans	n_tel	act	ag	th	na	2	oui
débattre	oui	oui	intrans	n_tel	act	ag	na	th	2	non
emprunter1	oui	oui	trans	n_tel	act	ag	th	benf	3	non
emprunter2	oui	oui	trans	n_tel	act	ag	loc	na	2	non
franchir	oui	oui	trans	tel	ach	ag	loc	na	2	non
confiner1	oui	oui	trans	n_tel	act	ag	th	loc	3	non
résumer1	oui	oui	trans	tel	acc	ag	th	na	2	oui
muscler	oui	oui	trans	tel	ach_grad	ag	pa	na	2	non
assister	oui	oui	intrans	n_tel	act	ag	na	th	2	non
rechercher	oui	oui	trans	n_tel	act	ag	th	na	2	non
entrecouper	oui	oui	trans	tel	ach	ag	pa	pa	3	non
s'entrecouper	oui	oui	intrans	n_tel	etat	sg	na	na	1	non
galoper	oui	oui	intrans	n_tel	act	ag	na	na	1	non
molester	oui	oui	trans	n_tel	act	ag	pa	na	2	non
surestimer	oui	oui	trans	n_tel	etat	exp	th	na	2	non
citer	oui	oui	trans	n_tel	act	ag	th	na	2	non
surcharger	oui	oui	trans	n_tel	act	ag	pa	th	3	non
flemmarder	oui	oui	intrans	n_tel	act	ag	na	na	1	non
diagnostiquer	oui	oui	trans	tel	acc	ag	pa	na	2	non
transmettre	oui	oui	trans	tel	acc	ag	th	benf	3	non
