nom	freq	verbe	v_dico	v_corpus	v_trans	v_tel	v_rol_suj	v_rol_obj	v_rol_obq	v_nb_arg	n_onto	n_rel	n_asp	n_rol_cplt1	n_rol_cplt2	n_rol_cplt3	n_nb_arg	n_polys	v_polys	si_polys_v_base_unq	act_res	herit_asp	v_rol_inc	n_rol_inc	herit_Sa
emmoulage	8	emmouler	non	oui	trans	1	ag	pa	na	2	act	na	ach	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
recasage	5	recaser	oui	oui	trans	1	ag	th	na	2	act	na	acc	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
baissage	7	baisser	oui	oui	trans	1	ag	th	na	2	act	na	ach	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
chahutage1	6	chahuter1	oui	oui	trans	0	ag	pa	na	2	act	na	act	pa	ag	na	2	oui	oui	non	non	oui	incl	incl	oui
chahutage2	na	chahuter2	oui	oui	intrans	0	ag	na	na	1	act	na	act	ag	na	na	1	oui	oui	non	non	oui	incl	incl	oui
amassage	7	amasser	oui	oui	trans	0	ag	th	na	2	act	na	act	th	na	na	1	non	non	non	non	oui	incl	incl	oui
semage	7	semer	oui	oui	trans	1	ag	th	na	2	act	na	acc	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
délaçage1	7	délacer1	oui	oui	trans	1	ag	pa	na	2	act	na	acc	pa	ag	na	2	oui	non	oui	oui	oui	incl	incl	oui
délaçage2	na	délacer1	oui	oui	intrans	1	pa	na	na	2	ppt	res	etat	sg	na	na	1	oui	non	oui	oui	na	noninc	noninc	non
goutage	7	goûter	oui	oui	trans	1	ag	th	na	2	act	na	acc	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
somnolage	6	somnoler	oui	oui	intrans	0	ag	na	na	1	act	na	act	ag	na	na	1	non	non	non	non	oui	incl	incl	oui
dégoulinage1	6	dégouliner1	oui	oui	intrans	0	th	loc	na	2	act	na	act	th	loc	na	2	oui	non	oui	oui	oui	incl	incl	oui
dégoulinage2	na	dégouliner1	oui	oui	intrans	0	th	loc	na	2	obj	res	na	na	na	na	0	oui	non	oui	oui	na	noninc	incl	non
bastonnage	6	bastonner	oui	oui	trans	0	ag	pa	na	2	act	na	act	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
recoiffage	6	recoiffer	oui	oui	trans	1	ag	pa	na	2	act	na	acc	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
poignardage	5	poignarder	oui	oui	trans	1	ag	pa	na	2	act	na	ach	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
tachage	6	tacher	oui	oui	trans	1	ag	pa	na	2	act	na	ach	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
lourdage	5	lourder	oui	oui	trans	1	ag	pa	na	2	act	na	ach	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
acoquinage	3	s'acoquiner	oui	oui	intrans	1	ag	na	th	2	act	na	ach	ag	th	na	2	non	non	non	non	oui	incl	incl	oui
défoulage	5	se défouler	oui	oui	intrans	0	ag	na	loc	2	act	na	act	ag	loc	na	2	non	non	non	non	oui	incl	incl	oui
scalpage	4	scalper	oui	oui	trans	1	ag	pa	na	2	act	na	ach	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
réancrage	5	réancrer	non	oui	trans	1	ag	pa	na	2	act	na	ach	pa	ag	na	1	non	non	non	non	oui	incl	incl	oui
galérage	4	galérer	oui	oui	intrans	0	ag	na	na	1	act	na	act	ag	na	na	1	non	non	non	non	oui	incl	incl	oui
quittage	5	quitter	oui	oui	trans	1	ag	loc	na	2	act	na	ach	loc	ag	na	2	non	non	non	non	oui	incl	incl	oui
refilage	5	refiler	oui	oui	trans	1	ag	th	benf	3	act	na	ach	th	benf	ag	3	non	non	non	non	oui	incl	incl	oui
mâchouillage	2	mâchouiller	oui	oui	trans	0	ag	pa	na	2	act	na	act	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
blablatage1	421	blablater1	oui	oui	intrans	0	ag	na	th	2	act	na	act	th	ag	na	1	oui	non	oui	oui	oui	incl	incl	oui
blablatage2	na	blablater1	oui	oui	intrans	0	ag	na	th	2	cog	res	na	ag	th	na	2	oui	non	oui	oui	na	incl	incl	oui
concoctage1		concocter1	oui	oui	trans	1	ag	pa	na	2	act	na	acc	pa	ag	na	2	oui	non	oui	oui	oui	incl	incl	oui
concoctage2		concocter1	oui	oui	trans	1	ag	pa	na	2	obj	res	na	ag	na	na	1	oui	non	oui	oui	na	noninc	incl	non
dragouillage		dragouiller	non	oui	trans	0	ag	th	na	2	act	na	act	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
baladage1		se balader	oui	oui	intrans	0	ag	na	na	1	act	na	act	ag	na	na	1	oui	oui	non	non	oui	incl	incl	oui
baladage2		balader	oui	oui	trans	0	ag	pa	na	2	act	na	act	pa	ag	na	2	oui	oui	non	non	oui	incl	incl	oui
éteignage	3	éteindre	oui	oui	trans	1	ag	pa	na	2	act	na	ach	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
applicage1	3	appliquer	oui	oui	trans	1	ag	th	loc	3	act	na	acc	th	loc	ag	3	oui	oui	non	non	oui	incl	incl	oui
applicage2	na	s'appliquer	oui	oui	intrans	0	ag	na	na	1	act	na	act	ag	na	na	0	oui	oui	non	non	oui	incl	incl	oui
mimage	4	mimer	oui	oui	trans	0	ag	th	na	2	act	na	act	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
réveillage1	3	réveiller	oui	oui	trans	1	ag	pa	na	2	act	na	ach	pa	ag	na	2	oui	oui	non	non	oui	incl	incl	oui
réveillage2	na	se réveiller	oui	oui	intrans	1	pa	na	na	1	act	na	ach	pa	na	na	1	oui	oui	non	non	oui	incl	incl	oui
véhiculage	3	véhiculer	oui	oui	trans	0	ag	th	na	2	act	na	act	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
rabaissage	3	rabaisser	oui	oui	trans	2	ag	pa	na	2	act	na	ach_grad	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
remoulinage	3	remouliner	non	oui	trans	0	ag	pa	na	2	act	na	act	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
recrachage	3	recracher	oui	oui	trans	1	ag	th	na	2	act	na	ach	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
cachage	2	cacher	oui	oui	trans	0	ag	pa	na	2	act	na	act	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
cocoonage	3	cocooner	oui	oui	intrans	0	ag	na	na	1	act	na	act	ag	na	na	1	non	non	non	non	oui	incl	incl	oui
bippage	3	bip(p)er	oui	oui	trans	1	ag	th	na	2	act	na	ach	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
rengainage	3	rengainer	oui	oui	trans	1	ag	th	na	2	act	na	ach	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
poupounage	2	poupouner	non	oui	trans	0	ag	pa	na	2	act	na	act	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
paumage1	2	paumer	oui	oui	trans	1	ag	th	na	2	act	na	ach	th	ag	na	2	oui	oui	non	non	oui	incl	incl	oui
paumage2	na	se paumer	oui	oui	intrans	1	ag	na	na	1	act	na	ach	ag	na	na	1	oui	oui	non	non	oui	incl	incl	oui
ensablage1	2	ensabler	oui	oui	trans	2	ag	pa	na	2	act	na	ach_grad	pa	ag	na	2	oui	oui	non	non	oui	incl	incl	oui
ensablage2	na	s'ensabler	oui	oui	intrans	2	pa	na	na	1	act	na	ach_grad	pa	na	na	1	oui	oui	non	non	oui	incl	incl	oui
trainaillage	2	trainailler	oui	oui	intrans	0	ag	na	na	1	act	na	act	ag	na	na	1	non	non	non	non	oui	incl	incl	oui
compulsage	2	compulser	oui	oui	trans	0	ag	th	na	2	act	na	act	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
arnaquage	2	arnaquer	oui	oui	trans	1	ag	th	na	2	act	na	ach	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
validage	2	valider	oui	oui	trans	1	ag	pa	na	2	act	na	ach	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
entrelardage1	2	entrelarder1	oui	oui	trans	1	ag	pa	pa	3	act	na	acc	pa	pa	ag	3	oui	non	oui	oui	oui	incl	incl	oui
entrelardage2	na	entrelarder1	oui	oui	trans	1	ag	pa	pa	3	cog	res	na	tt	na	na	1	oui	non	oui	oui	na	noninc	noninc	non
chicanage	2	chicaner	oui	oui	intrans	0	ag	na	na	1	act	na	act	ag	na	na	1	non	non	non	non	oui	incl	incl	oui
surpeuplage	2	surpeupler	oui	oui	trans	0	th	loc	na	2	ppt	na	etat	loc	th	na	2	non	non	non	non	oui	incl	incl	oui
supprimage	2	supprimer	oui	oui	trans	1	ag	pa	na	2	act	na	ach	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
réappareillage	2	réappareiller	non	oui	trans	1	ag	pa	na	2	act	na	acc	pa	ag	na	2	non	non	non	non	oui	incl	incl	oui
casage	1	caser	oui	oui	trans	1	ag	th	na	2	act	na	ach	th	ag	na	2	non	non	non	non	oui	incl	incl	oui
pettage	1	péter	oui	oui	trans	1	ag	pa	na	2	act	na	acc	ag	na	na	1	non	non	non	non	oui	incl	incl	oui
alcoolisage1	2	alcooliser1	oui	oui	trans	2	ag	pa	na	2	act	na	ach_grad	pa	ag	na	2	oui	non	oui	oui	oui	incl	incl	oui
